feature,activation_frequency
811,0.0003832886286545545
812,0.0
813,0.0003832886286545545
814,0.0
815,0.003066309029236436
816,0.0
817,0.000574932899326086
818,0.0
819,0.0003832886286545545
820,0.0
821,0.26638558506965637
822,0.0
823,0.09984668344259262
824,0.10463779419660568
825,0.001533154514618218
826,0.0
827,0.0003832886286545545
828,0.0003832886286545545
829,0.00019164431432727724
830,0.0
831,0.007090839557349682
832,0.000574932899326086
833,0.00479110749438405
834,0.0
835,0.0
836,0.000574932899326086
837,0.0
838,0.0
839,0.00019164431432727724
840,0.001341510214842856
841,0.0003832886286545545
842,0.019739363342523575
843,0.0
844,0.0
845,0.0003832886286545545
846,0.0003832886286545545
847,0.013031813316047192
848,0.0
849,0.30279800295829773
850,0.001533154514618218
851,0.00689919525757432
852,0.0
853,0.0
854,0.0
855,0.00019164431432727724
856,0.0
857,0.000766577257309109
858,0.0
859,0.000958221557084471
860,0.00019164431432727724
861,0.0
862,0.0
863,0.001341510214842856
864,0.1519739329814911
865,0.0
866,0.0003832886286545545
867,0.000958221557084471
868,0.001341510214842856
869,0.00019164431432727724
870,0.0003832886286545545
871,0.13185128569602966
872,0.0
873,0.000574932899326086
874,0.002108087297528982
875,0.0003832886286545545
876,0.000766577257309109
877,0.0
878,0.0
879,0.001149865798652172
880,0.000574932899326086
881,0.00019164431432727724
882,0.0
883,0.0003832886286545545
884,0.0
885,0.07531621307134628
886,0.010348792187869549
887,0.018972786143422127
888,0.0
889,0.24070525169372559
890,0.0
891,0.0
892,0.00019164431432727724
893,0.0
894,0.0
895,0.0
896,0.000574932899326086
897,0.002108087297528982
898,0.002683020429685712
899,0.6653890609741211
900,0.00019164431432727724
901,0.000766577257309109
902,0.001149865798652172
903,0.0003832886286545545
904,0.003641241928562522
905,0.00019164431432727724
906,0.0
907,0.00019164431432727724
908,0.000574932899326086
909,0.00019164431432727724
910,0.0
911,0.009390571154654026
912,0.0
913,0.002108087297528982
914,0.0
915,0.01379839051514864
916,0.00019164431432727724
917,0.002683020429685712
918,0.00019164431432727724
919,0.000766577257309109
920,0.0003832886286545545
921,0.002108087297528982
922,0.000574932899326086
923,0.000574932899326086
924,0.0
925,0.3742813467979431
926,0.000958221557084471
927,0.0
928,0.003066309029236436
929,0.0
930,0.00785741675645113
931,0.012456879951059818
932,0.00019164431432727724
933,0.000958221557084471
934,0.0
935,0.0
936,0.0
937,0.0003832886286545545
938,0.005557685159146786
939,0.0
940,0.00019164431432727724
941,0.0
942,0.000574932899326086
943,0.00172479881439358
944,0.000958221557084471
945,0.000574932899326086
946,0.0095822149887681
947,0.000574932899326086
948,0.0003832886286545545
949,0.0003832886286545545
950,0.0003832886286545545
951,0.01188194751739502
952,0.0
953,0.030088156461715698
954,0.0
955,0.0003832886286545545
956,0.007090839557349682
957,0.0
958,0.0003832886286545545
959,0.11134534329175949
960,0.0
961,0.0
962,0.00019164431432727724
963,0.009198926389217377
964,0.003066309029236436
965,0.0
966,0.0003832886286545545
967,0.0003832886286545545
968,0.0
969,0.0
970,0.0
971,0.012073591351509094
972,0.00019164431432727724
973,0.0
974,0.00019164431432727724
975,0.0
976,0.001149865798652172
977,0.0
978,0.00019164431432727724
979,0.001916443114168942
980,0.000958221557084471
981,0.00019164431432727724
982,0.0003832886286545545
983,0.000574932899326086
984,0.0
985,0.0
986,0.0003832886286545545
987,0.17171330749988556
988,0.001916443114168942
989,0.000958221557084471
990,0.00172479881439358
991,0.000574932899326086
992,0.000958221557084471
993,0.00019164431432727724
994,0.0
995,0.5538520216941833
996,0.0
997,0.0
998,0.0003832886286545545
999,0.0
1000,0.0
1001,0.0003832886286545545
1002,0.00019164431432727724
1003,0.000766577257309109
1004,0.003832886228337884
1005,0.0
1006,0.0003832886286545545
1007,0.0
1008,0.00019164431432727724
1009,0.0
1010,0.0
1011,0.0003832886286545545
1012,0.0
1013,0.004982751794159412
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.014756611548364162
1019,0.000574932899326086
1020,0.05825987085700035
1021,0.0
1022,0.0
1023,0.01609812118113041
1024,0.005174396093934774
1025,0.005557685159146786
1026,0.0
1027,0.8901877999305725
1028,0.0003832886286545545
1029,0.0
1030,0.0
1031,0.009007282555103302
1032,0.001341510214842856
1033,0.36508241295814514
1034,0.00019164431432727724
1035,0.00019164431432727724
1036,0.0
1037,0.33863550424575806
1038,0.0
1039,0.000574932899326086
1040,0.0
1041,0.001341510214842856
1042,0.0
1043,0.0
1044,0.013223457150161266
1045,0.024338826537132263
1046,0.0
1047,0.003832886228337884
1048,0.0003832886286545545
1049,0.000574932899326086
1050,0.0003832886286545545
1051,0.14603295922279358
1052,0.001341510214842856
1053,0.01379839051514864
1054,0.0003832886286545545
1055,0.0
1056,0.001149865798652172
1057,0.0
1058,0.0
1059,0.0
1060,0.00019164431432727724
1061,0.0
1062,0.001149865798652172
1063,0.000574932899326086
1064,0.003066309029236436
1065,0.000766577257309109
1066,0.006324262358248234
1067,0.000766577257309109
1068,0.000574932899326086
1069,0.0
1070,0.0
1071,0.0003832886286545545
1072,0.00172479881439358
1073,0.003257953329011798
1074,0.0
1075,0.5711000561714172
1076,0.0003832886286545545
1077,0.009198926389217377
1078,0.003832886228337884
1079,0.002491375897079706
1080,0.5469528436660767
1081,0.0
1082,0.000574932899326086
1083,0.0
1084,0.0
1085,0.00019164431432727724
1086,0.000766577257309109
1087,0.004407818894833326
1088,0.0
1089,0.20429283380508423
1090,0.0
1091,0.005174396093934774
1092,0.04273667931556702
1093,0.028555002063512802
1094,0.000574932899326086
1095,0.0
1096,0.0003832886286545545
1097,0.002874664729461074
1098,0.00019164431432727724
1099,0.0
1100,0.03468761965632439
1101,0.002491375897079706
1102,0.0003832886286545545
1103,0.001341510214842856
1104,0.00019164431432727724
1105,0.000766577257309109
1106,0.0
1107,0.00019164431432727724
1108,0.0003832886286545545
1109,0.0
1110,0.008240705356001854
1111,0.0
1112,0.00019164431432727724
1113,0.0
1114,0.000574932899326086
1115,0.006707550957798958
1116,0.0003832886286545545
1117,0.00019164431432727724
1118,0.0
1119,0.0
1120,0.0
1121,0.00172479881439358
1122,0.000574932899326086
1123,0.000574932899326086
1124,0.11057876795530319
1125,0.020122652873396873
1126,0.0
1127,0.0
1128,0.003257953329011798
1129,0.0
1130,0.0
1131,0.000958221557084471
1132,0.0
1133,0.000574932899326086
1134,0.0
1135,0.001149865798652172
1136,0.02759678103029728
1137,0.000766577257309109
1138,0.0095822149887681
1139,0.0
1140,0.0
1141,0.00019164431432727724
1142,0.0
1143,0.002491375897079706
1144,0.0
1145,0.0
1146,0.0
1147,0.6887696385383606
1148,0.000958221557084471
1149,0.000958221557084471
1150,0.0
1151,0.000958221557084471
1152,0.0
1153,0.0
1154,0.01743963174521923
1155,0.002683020429685712
1156,0.001533154514618218
1157,0.0
1158,0.0
1159,0.0003832886286545545
1160,0.0003832886286545545
